tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date,val_null
NA5120_E1363N0533,EPSG:32612,-110.8330005971151,31.803547108050758,515807.5363841208,3518672.8504215693,6981120.0,2731520.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1363N0534,EPSG:32612,-110.8408753305248,31.84891950227035,515054.7773915216,3523700.790957985,6981120.0,2736640.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1363N0535,EPSG:32612,-110.84876344045517,31.89429034718008,514301.4738552236,3528728.646211973,6981120.0,2741760.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1364N0533,EPSG:32612,-110.78068846045136,31.811182668685944,520757.5089275147,3519527.9692332386,6986240.0,2731520.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1364N0534,EPSG:32612,-110.78853400377761,31.85656123877582,520005.14683264075,3524556.253498054,6986240.0,2736640.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1364N0535,EPSG:32612,-110.7963928771139,31.90193826869109,519252.2392653765,3529584.451936191,6986240.0,2741760.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.16025641025641024
NA5120_E1801N0548,EPSG:32616,-87.41182602268786,32.91458924156657,461491.7677588154,3641893.5660184575,9223680.0,2808320.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_TALL_3,2017-05-10,0.0
NA5120_E1801N0549,EPSG:32616,-87.40569243208498,32.96029239763426,462084.80625560496,3646958.000356317,9223680.0,2813440.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_TALL_3,2017-05-10,0.0
NA5120_E2274N0333,EPSG:32619,-66.87108568644905,17.990274067794655,725427.0628418749,1990403.4290000403,11645440.0,1707520.0,19QGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_GUAN_1,2018-05-10,0.0
NA5120_E2275N0333,EPSG:32619,-66.82777856666634,17.97418468541221,730035.4086171989,1988675.5295450343,11650560.0,1707520.0,19QGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_GUAN_1,2018-05-10,0.0
