tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date
NA5120_E1966N0715,EPSG:32618,-76.63169573475372,38.95077809493019,358606.7126957359,4312580.2752973335,10068480.0,3663360.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1967N0713,EPSG:32618,-76.604427354505,38.85036714283653,360773.7575502021,4301394.857520564,10073600.0,3653120.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1967N0714,EPSG:32618,-76.58979840081254,38.89441484549036,362128.4205379884,4306260.971004153,10073600.0,3658240.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1967N0715,EPSG:32618,-76.57514286137894,38.9384586310417,363483.8913353175,4311126.832876539,10073600.0,3663360.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1968N0713,EPSG:32618,-76.54796366200641,38.83803766420568,365650.5366652569,4299941.992729073,10078720.0,3653120.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1968N0714,EPSG:32618,-76.53330071961338,38.88207446266876,367005.29138756974,4304807.5963218,10078720.0,3658240.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1968N0715,EPSG:32618,-76.51861114167377,38.926107326548376,368360.8532672991,4309672.94928626,10078720.0,3663360.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1968N0716,EPSG:32618,-76.50389486345175,38.97013624647432,369717.22154170787,4314538.051924681,10078720.0,3668480.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24
NA5120_E1800N0547,EPSG:32616,-87.4712661152494,32.87469607436114,455913.95376263093,3637494.2938445252,9218560.0,2803200.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1800N0548,EPSG:32616,-87.46517450058819,32.920405101528175,456506.1633864122,3642559.0589172374,9218560.0,2808320.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1800N0549,EPSG:32616,-87.45907232301093,32.96611307815068,457098.80149958446,3647623.7693931716,9218560.0,2813440.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1801N0547,EPSG:32616,-87.41794899791302,32.86888502757564,460899.1567650628,3636829.0775220236,9223680.0,2803200.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1801N0548,EPSG:32616,-87.41182602268786,32.91458924156657,461491.7677588154,3641893.5660184575,9223680.0,2808320.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1801N0549,EPSG:32616,-87.40569243208498,32.96029239763426,462084.80625560496,3646958.000356317,9223680.0,2813440.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1802N0547,EPSG:32616,-87.3646400137217,32.863043494619205,465884.2242693227,3636163.0077179186,9228800.0,2803200.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1802N0548,EPSG:32616,-87.35848569886893,32.908742871127835,466477.2372086142,3641227.221599446,9228800.0,2808320.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1802N0549,EPSG:32616,-87.3523207162421,32.95444118229966,467070.67666531936,3646291.381761016,9228800.0,2813440.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1802N0550,EPSG:32616,-87.3461450415366,33.000138426146336,467664.5422821342,3651355.4882541653,9228800.0,2818560.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06
NA5120_E1611N0545,EPSG:32614,-97.646057016779,33.32481560589625,626018.9207577497,3688115.077732719,8250880.0,2792960.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,2017-05-01
NA5120_E1611N0546,EPSG:32614,-97.64614693030559,33.37097878824861,625944.0521368855,3693233.4801036874,8250880.0,2798080.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,2017-05-01
NA5120_E1611N0547,EPSG:32614,-97.64623700223066,33.41714162662081,625869.0962642301,3698351.87999616,8250880.0,2803200.0,14SPC,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,2017-05-01
NA5120_E1612N0545,EPSG:32614,-97.59203291685546,33.32488472993673,631047.5340420781,3688189.3423776766,8256000.0,2792960.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,2017-05-01
